DriverNumber,Abbreviation,DriverId,TeamName,TeamId,FirstName,LastName,FullName,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,PositionChange,Year,Event
44,HAM,hamilton,Mercedes,mercedes,Lewis,Hamilton,Lewis Hamilton,1.0,1,1.0,,,,0 days 01:43:28.437000,Finished,25.0,0.0,2019,Monaco Grand Prix
5,VET,vettel,Ferrari,ferrari,Sebastian,Vettel,Sebastian Vettel,2.0,2,4.0,,,,0 days 00:00:02.602000,Finished,18.0,2.0,2019,Monaco Grand Prix
77,BOT,bottas,Mercedes,mercedes,Valtteri,Bottas,Valtteri Bottas,3.0,3,2.0,,,,0 days 00:00:03.162000,Finished,15.0,-1.0,2019,Monaco Grand Prix
33,VER,max_verstappen,Red Bull Racing,red_bull,Max,Verstappen,Max Verstappen,4.0,4,3.0,,,,0 days 00:00:05.537000,Finished,12.0,-1.0,2019,Monaco Grand Prix
10,GAS,gasly,Red Bull Racing,red_bull,Pierre,Gasly,Pierre Gasly,5.0,5,8.0,,,,0 days 00:00:09.946000,Finished,11.0,3.0,2019,Monaco Grand Prix
55,SAI,sainz,McLaren,mclaren,Carlos,Sainz,Carlos Sainz,6.0,6,9.0,,,,0 days 00:00:53.454000,Finished,8.0,3.0,2019,Monaco Grand Prix
26,KVY,kvyat,Toro Rosso,toro_rosso,Daniil,Kvyat,Daniil Kvyat,7.0,7,7.0,,,,0 days 00:00:54.574000,Finished,6.0,0.0,2019,Monaco Grand Prix
23,ALB,albon,Toro Rosso,toro_rosso,Alexander,Albon,Alexander Albon,8.0,8,10.0,,,,0 days 00:00:55.200000,Finished,4.0,2.0,2019,Monaco Grand Prix
3,RIC,ricciardo,Renault,renault,Daniel,Ricciardo,Daniel Ricciardo,9.0,9,6.0,,,,0 days 00:01:00.894000,Finished,2.0,-3.0,2019,Monaco Grand Prix
8,GRO,grosjean,Haas F1 Team,haas,Romain,Grosjean,Romain Grosjean,10.0,10,13.0,,,,0 days 00:01:01.034000,Finished,1.0,3.0,2019,Monaco Grand Prix
4,NOR,norris,McLaren,mclaren,Lando,Norris,Lando Norris,11.0,11,12.0,,,,0 days 00:01:06.801000,Finished,0.0,1.0,2019,Monaco Grand Prix
11,PER,perez,Racing Point,racing_point,Sergio,Perez,Sergio Perez,12.0,12,16.0,,,,,+1 Lap,0.0,4.0,2019,Monaco Grand Prix
27,HUL,hulkenberg,Renault,renault,Nico,Hulkenberg,Nico Hulkenberg,13.0,13,11.0,,,,,+1 Lap,0.0,-2.0,2019,Monaco Grand Prix
20,MAG,kevin_magnussen,Haas F1 Team,haas,Kevin,Magnussen,Kevin Magnussen,14.0,14,5.0,,,,,+1 Lap,0.0,-9.0,2019,Monaco Grand Prix
63,RUS,russell,Williams,williams,George,Russell,George Russell,15.0,15,19.0,,,,,+1 Lap,0.0,4.0,2019,Monaco Grand Prix
18,STR,stroll,Racing Point,racing_point,Lance,Stroll,Lance Stroll,16.0,16,17.0,,,,,+1 Lap,0.0,1.0,2019,Monaco Grand Prix
7,RAI,raikkonen,Alfa Romeo Racing,alfa,Kimi,Räikkönen,Kimi Räikkönen,17.0,17,14.0,,,,,+1 Lap,0.0,-3.0,2019,Monaco Grand Prix
88,KUB,kubica,Williams,williams,Robert,Kubica,Robert Kubica,18.0,18,20.0,,,,,+1 Lap,0.0,2.0,2019,Monaco Grand Prix
99,GIO,giovinazzi,Alfa Romeo Racing,alfa,Antonio,Giovinazzi,Antonio Giovinazzi,19.0,19,18.0,,,,,+2 Laps,0.0,-1.0,2019,Monaco Grand Prix
16,LEC,leclerc,Ferrari,ferrari,Charles,Leclerc,Charles Leclerc,20.0,R,15.0,,,,,Collision,0.0,-5.0,2019,Monaco Grand Prix
